key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-435619260,Probability propagation for path planning in unknown environments,2025,6,1,Intelligent Systems with Applications,2667-3053,26,,200527,"Di Gennaro, Giovanni and Buonanno, Amedeo and Fioretti, Giovanni and Verolla, Francesco and Palmieri, Francesco A.N. and Pattipati, Krishna R.",https://www.sciencedirect.com/science/article/pii/S2667305325000535,,,,,"",https://doi.org/10.1016/j.iswa.2025.200527,Bayesian networks;Factor graphs;Path planning;Unknown environment;Unknown goal position,,
rayyan-435619261,Pseudo-label guided selective mutual learning for semi-supervised 3D medical image segmentation,2025,2,1,Biomedical Signal Processing and Control,1746-8094,100,,107144,"Hang, Wenlong and Dai, Peng and Pan, Chengao and Liang, Shuang and Zhang, Qingfeng and Wu, Qiang and Jin, Yukun and Wang, Qiong and Qin, Jing",https://www.sciencedirect.com/science/article/pii/S1746809424012023,,,,,"",https://doi.org/10.1016/j.bspc.2024.107144,Semi-supervised learning;Confirmation bias;Pseudo-label;Medical image segmentation,,
rayyan-435619262,Understanding the peer review endeavor in scientific publishing,2022,5,1,Journal of Informetrics,1751-1577,16,2,101264,"Zhang, Guangyao and Xu, Shenmeng and Sun, Yao and Jiang, Chunlin and Wang, Xianwen",https://www.sciencedirect.com/science/article/pii/S1751157722000165,,,,,"",https://doi.org/10.1016/j.joi.2022.101264,Peer review;Publons;Review length;Peer review endeavor,,
rayyan-435619263,Web-based tool for expert elicitation of the variogram,2013,2,1,Computers & Geosciences,0098-3004,51,,390-399,"Truong, Phuong N. and Heuvelink, Gerard B.M. and Gosling, John Paul",https://www.sciencedirect.com/science/article/pii/S0098300412002890,,,,,"",https://doi.org/10.1016/j.cageo.2012.08.010,Spatial variability;Expert knowledge;Geostatistics;Subjective prior information,,
rayyan-435619264,Software feature refinement prioritization based on online user review mining,2019,4,1,Information and Software Technology,0950-5849,108,,30-34,"Zhang, Jianzhang and Wang, Yinglin and Xie, Tian",https://www.sciencedirect.com/science/article/pii/S0950584918302489,,,,,"",https://doi.org/10.1016/j.infsof.2018.12.002,Online software reviews;Feature extraction;Topic model;Feature refinement;Release planning,,
rayyan-435619265,How to identify and treat data inconsistencies when eliciting health-state utility values for patient-centered decision making,2020,6,1,Artificial Intelligence in Medicine,0933-3657,106,,101882,"Triantaphyllou, Evangelos and Yanase, Juri",https://www.sciencedirect.com/science/article/pii/S0933365718307334,,,,,"",https://doi.org/10.1016/j.artmed.2020.101882,Health-state utilities;Quality-Adjusted life years (QALYs);Shared decision making;Cost/utility analysis;Patient-Centered healthcare;Quadratic optimization,,
rayyan-435619266,Sequence effects in the estimation of software development effort,2020,1,1,Journal of Systems and Software,0164-1212,159,,110448,"Jørgensen, Magne and Halkjelsvik, Torleif",https://www.sciencedirect.com/science/article/pii/S0164121219302225,,,,,"",https://doi.org/10.1016/j.jss.2019.110448,Effort estimation;Human judgment;Sequence effect;Software development,,
rayyan-435619267,When providing optimistic and pessimistic scenarios can be detrimental to judgmental demand forecasts and production decisions,2019,3,16,European Journal of Operational Research,0377-2217,273,3,992-1004,"Goodwin, Paul and Gönül, M. Sinan and Önkal, Dilek",https://www.sciencedirect.com/science/article/pii/S0377221718308105,,,,,"",https://doi.org/10.1016/j.ejor.2018.09.033,Forecasting;Judgment;Extrapolation;Scenarios;Production planning,,
rayyan-435619268,The Effects of Objective Push-Type Sleep Feedback on Habitual Sleep Behavior and Momentary Symptoms in Daily Life: mHealth Intervention Trial Using a Health Care Internet of Things System,2022,10,1,JMIR mHealth and uHealth,2291-5222,10,10,,"Takeuchi, Hiroki and Suwa, Kaori and Kishi, Akifumi and Nakamura, Toru and Yoshiuchi, Kazuhiro and Yamamoto, Yoshiharu",https://www.sciencedirect.com/science/article/pii/S2291522222000365,,,,,"",https://doi.org/10.2196/39150,wearable activity monitor;smartphone app;sleep feedback;ecological momentary assessment;stabilized sleep timing;mood and physical symptoms,,
rayyan-435619269,The effects of optimistic and pessimistic biasing on software project status reporting,2007,3,1,Information & Management,0378-7206,44,2,130-141,"Snow, Andrew P. and Keil, Mark and Wallace, Linda",https://www.sciencedirect.com/science/article/pii/S0378720606001145,,,,,"",https://doi.org/10.1016/j.im.2006.10.009,Project management and scheduling;Reporting bias;Software project management;Traffic light reporting;Information theory,,
rayyan-435619270,Incorporation of expert knowledge in the statistical detection of diagnosis related group misclassification,2020,4,1,International Journal of Medical Informatics,1386-5056,136,,104086,"Suleiman, Mani and Demirhan, Haydar and Boyd, Leanne and Girosi, Federico and Aksakalli, Vural",https://www.sciencedirect.com/science/article/pii/S1386505619307920,,,,,"",https://doi.org/10.1016/j.ijmedinf.2020.104086,Bayesian analysis;Clinical coding;DRGs;Health informatics;Statistical modeling,,
rayyan-435619271,Physics-informed neural networks prediction approach for knowledge dissemination model considering knowledge media,2025,8,3,Knowledge-Based Systems,0950-7051,324,,113514,"Xia, Dan and He, Min and Mei, Jun and Min, QiuSha",https://www.sciencedirect.com/science/article/pii/S095070512500560X,,,,,"",https://doi.org/10.1016/j.knosys.2025.113514,Knowledge dissemination;Epidemic models;Physics-informed neural networks;Stability analysis;Parameter estimation,,
rayyan-435619272,Analysis and Prediction of Differential Operation and Maintenance Cost of Power Transmission and Transformation,2023,1,1,3rd International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy,1877-0509,228,,1277-1286,"Yang, Fan and Chen, Fulei and Zhao, Chen and Li, Jianqing and Kang, Jian",https://www.sciencedirect.com/science/article/pii/S187705092301918X,,,,,"",https://doi.org/10.1016/j.procs.2023.11.087,Power Transmission and Transformation Project;Operation and Maintenance Cost;Random Forest;Particle Swarm Optimization,,
rayyan-435619273,Revealing Pairs-trading opportunities with long short-term memory networks,2021,12,1,European Journal of Operational Research,0377-2217,295,2,772-791,"Flori, Andrea and Regoli, Daniele",https://www.sciencedirect.com/science/article/pii/S0377221721001995,,,,,"",https://doi.org/10.1016/j.ejor.2021.03.009,Finance;Machine learning;Pairs-trading;Statistical arbitrage;Neural networks,,
rayyan-435619274,Providing detection strategies to improve human detection of deepfakes: An experimental study,2023,12,1,Computers in Human Behavior,0747-5632,149,,107917,"Somoray, Klaire and Miller, Dan J.",https://www.sciencedirect.com/science/article/pii/S0747563223002686,,,,,"",https://doi.org/10.1016/j.chb.2023.107917,Deepfake;Human detection;Deepfake detection strategies;Accuracy;Confidence,,
rayyan-435619275,Identifying key AI challenges in make-to-order manufacturing organisations: A multiple case study,2025,12,1,Journal of Systems and Software,0164-1212,230,,112559,"Flyckt, Jonatan and Gorschek, Tony and Mendez, Daniel and Lavesson, Niklas",https://www.sciencedirect.com/science/article/pii/S0164121225002286,,,,,"",https://doi.org/10.1016/j.jss.2025.112559,Multiple case study;Artificial intelligence;Manufacturing;Make-to-order;Data requirements,,
rayyan-435619276,Investigating intentional distortions in software cost estimation – An exploratory study,2012,8,1,Journal of Systems and Software,0164-1212,85,8,1770-1781,"Magazinius, Ana and Börjesson, Sofia and Feldt, Robert",https://www.sciencedirect.com/science/article/pii/S0164121212000763,,,,,"",https://doi.org/10.1016/j.jss.2012.03.026,Cost estimation;Distortion;Human factors;Organizational factors;Organizational politics;Estimation inaccuracy;Software engineering;Empirical study,,
rayyan-435619277,Optimistic bias about online privacy risks: Testing the moderating effects of perceived controllability and prior experience,2010,9,1,Advancing Educational Research on Computer-supported Collaborative Learning (CSCL) through the use of gStudy CSCL Tools,0747-5632,26,5,987-995,"Cho, Hichang and Lee, Jae-Shin and Chung, Siyoung",https://www.sciencedirect.com/science/article/pii/S0747563210000373,,,,,"",https://doi.org/10.1016/j.chb.2010.02.012,Online privacy;Optimistic bias;Risk judgments;Perceived vulnerability;Perceived controllability;Prior experience,,
rayyan-435619278,Process mining for healthcare decision analytics with micro-costing estimations,2023,1,1,Artificial Intelligence in Medicine,0933-3657,135,,102473,"Leemans, Sander J.J. and Partington, Andrew and Karnon, Jonathan and Wynn, Moe T.",https://www.sciencedirect.com/science/article/pii/S0933365722002251,,,,,"",https://doi.org/10.1016/j.artmed.2022.102473,Process mining;Decision analytics;Healthcare economics,,
rayyan-435619279,Debiasing judgmental decisions by providing individual error pattern feedback,2026,3,1,Data & Knowledge Engineering,0169-023X,162,,102530,"Balla, Nathalie and Setzer, Thomas",https://www.sciencedirect.com/science/article/pii/S0169023X25001259,,,,,"",https://doi.org/10.1016/j.datak.2025.102530,Decision support system;Debiasing;Error feedback;Self-reflection;Collaborative intelligence,,
rayyan-435619280,A Patient Outcomes–Driven Feedback Platform for Emergency Medicine Clinicians: Human-Centered Design and Usability Evaluation of Linking Outcomes Of Patients (LOOP),2022,1,1,JMIR Human Factors,2292-9495,9,1,,"Strauss, Alexandra T and Morgan, Cameron and El Khuri, Christopher and Slogeris, Becky and Smith, Aria G and Klein, Eili and Toerper, Matt and DeAngelo, Anthony and Debraine, Arnaud and Peterson, Susan and Gurses, Ayse P and Levin, Scott and Hinson, Jeremiah",https://www.sciencedirect.com/science/article/pii/S2292949522000724,,,,,"",https://doi.org/10.2196/30130,emergency medicine;usability;human-centered design;health informatics;feedback;practice-based learning and improvement;emergency room;ER;platform;outcomes;closed-loop learning,,
rayyan-435619281,"Symptomatology, risk, and protective factors of gaming disorder: A network analytical approach",2023,11,1,Computers in Human Behavior,0747-5632,148,,107899,"Tang, Ming Chun and Ebrahimi, Omid V. and Cheng, Cecilia",https://www.sciencedirect.com/science/article/pii/S0747563223002509,,,,,"",https://doi.org/10.1016/j.chb.2023.107899,Gaming addiction;Problematic gaming;Network analysis;Risk factor;Protective factor;Maladaptive gaming cognition,,
rayyan-435619282,BGCSL: An unsupervised framework reveals the underlying structure of large-scale whole-brain functional connectivity networks,2025,3,1,Computer Methods and Programs in Biomedicine,0169-2607,260,,108573,"Zhang, Hua and Zeng, Weiming and Li, Ying and Deng, Jin and Wei, Boyang",https://www.sciencedirect.com/science/article/pii/S0169260724005662,,,,,"",https://doi.org/10.1016/j.cmpb.2024.108573,Brain FCNs;fMRI analysis;Deep graph structure learning;Graph contrastive learning,,
rayyan-435619283,Combining expert knowledge and local data for improved service life modeling of water supply networks,2013,4,1,Environmental Modelling & Software,1364-8152,42,,1-16,"Scholten, Lisa and Scheidegger, Andreas and Reichert, Peter and Maurer, Max",https://www.sciencedirect.com/science/article/pii/S1364815212002848,,,,,"",https://doi.org/10.1016/j.envsoft.2012.11.013,Scarce data;Expert knowledge elicitation;Expert aggregation;Bayesian inference;Water supply network;Service life modeling,,
rayyan-435619284,A spatially distributed risk screening tool to assess climate and land use change impacts on water-related ecosystem services,2016,9,1,Environmental Modelling & Software,1364-8152,83,,12-26,"Sample, James E. and Baber, Ingrid and Badger, Rebecca",https://www.sciencedirect.com/science/article/pii/S1364815216301475,,,,,"",https://doi.org/10.1016/j.envsoft.2016.05.011,Ecosystem services;Land use;Climate change;Adaptation;Qualitative risk assessment;Water resources,,
rayyan-435619285,Is review visibility fostering helpful votes? The role of review rank and review characteristics in the adoption of information,2024,4,1,Computers in Human Behavior,0747-5632,153,,108088,"Alzate, Miriam and Arce-Urriza, Marta and Cebollada, Javier",https://www.sciencedirect.com/science/article/pii/S0747563223004399,,,,,"",https://doi.org/10.1016/j.chb.2023.108088,eWOM;Online reviews;Review helpfulness;Review order;Review visibility,,
rayyan-435619286,Reasoning-based uncertainty estimation for scalable multidimensional media bias annotation: A benchmark across diverse media spaces,2026,2,15,Knowledge-Based Systems,0950-7051,334,,115058,"Liu, Yifan and Maussymbayeva, Aliya and Murzakhmetov, Aslanbek and Nemerenco, Alexandra and Li, Yike and Wang, Dong",https://www.sciencedirect.com/science/article/pii/S0950705125020969,,,,,"",https://doi.org/10.1016/j.knosys.2025.115058,Media bias identification;Human-LLM collaboration;Uncertainty estimation;Social media analysis,,
rayyan-435619287,Revolutionizing optical networks: The integration and impact of large language models,2025,10,1,Optical Switching and Networking,1573-4277,57,,100812,"Cruzes, Sergio",https://www.sciencedirect.com/science/article/pii/S1573427725000190,,,,,"",https://doi.org/10.1016/j.osn.2025.100812,Optical networks;Network automation;Large language models;Digital twins,,
rayyan-435619288,The quest of parsimonious XAI: A human-agent architecture for explanation formulation,2022,1,1,Artificial Intelligence,0004-3702,302,,103573,"Mualla, Yazan and Tchappi, Igor and Kampik, Timotheus and Najjar, Amro and Calvaresi, Davide and Abbas-Turki, Abdeljalil and Galland, Stéphane and Nicolle, Christophe",https://www.sciencedirect.com/science/article/pii/S0004370221001247,,,,,"",https://doi.org/10.1016/j.artint.2021.103573,Explainable artificial intelligence;Human-computer interaction;Multi-agent systems;Empirical user studies;Statistical testing,,
rayyan-435619289,Personal attacks decrease user activity in social networking platforms,2022,1,1,Computers in Human Behavior,0747-5632,126,,106972,"Urbaniak, Rafal and Ptaszyński, Michał and Tempska, Patrycja and Leliwa, Gniewosz and Brochocki, Maciej and Wroczyński, Michał",https://www.sciencedirect.com/science/article/pii/S0747563221002958,,,,,"",https://doi.org/10.1016/j.chb.2021.106972,Verbal aggression online;Personal attacks;Social media;Artificial intelligence;Online engagement,,
rayyan-435619290,A Novel Hybrid Deep Learning Framework with Metaheuristic Optimization for Accurate Software Effort Estimation,2025,,,SN Computer Science,,6,8,,"Badana, M. and Beesetti, B.K. and Sundari, M.R. and Ramya, P. and Rao, G.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019110196&doi=10.1007%2Fs42979-025-04459-3&partnerID=40&md5=8305929dce2ce9bf91326f8e7a219472,,,,,Export Date: 19 January 2026; Cited By: 0,10.1007/s42979-025-04459-3,"",,
rayyan-435619291,Safeguarding youtube discussions: a framework for detecting anomalous commenter and engagement behaviors,2025,,,Social Network Analysis and Mining,,15,1,,"Shajari, S. and Agarwal, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006760428&doi=10.1007%2Fs13278-025-01470-7&partnerID=40&md5=9110259c37c59a98608bcc9e39e6174c,,,,,Export Date: 19 January 2026; Cited By: 1,10.1007/s13278-025-01470-7,"",,
rayyan-435619292,Empirical Evaluation of Reasoning LLMs in Machinery Functional Safety Risk Assessment and the Limits of Anthropomorphized Reasoning,2025,,,Electronics (Switzerland),,14,18,,"Iyenghar, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017007961&doi=10.3390%2Felectronics14183624&partnerID=40&md5=7fd94bfda12332645a8a25616aa91524,,,,,Export Date: 19 January 2026; Cited By: 1,10.3390/electronics14183624,"",,
rayyan-435619293,"THE IMPACT OF CORPORATE CULTURE OF DIGNITY ON COGNITIVE BIASES, STRATEGIC DECISION-MAKING AND TECHNICAL DEBT MANAGEMENT IN IT ENGINEERING",2025,,,Technology Audit and Production Reserves,,3,4,6-13,"Korobkina, T. and Dashenkova, N. and Danchenko, I. and Omelchenko, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011830447&doi=10.15587%2F2706-5448.2025.329635&partnerID=40&md5=1280de3c8346cdcddd747204b60fee67,,,,,Export Date: 19 January 2026; Cited By: 0,10.15587/2706-5448.2025.329635,"",,
rayyan-435619294,How was my performance? Exploring the role of anchoring bias in AI-assisted decision making,2025,,,International Journal of Information Management,,82,,,"Carter, L. and Liu, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217063073&doi=10.1016%2Fj.ijinfomgt.2025.102875&partnerID=40&md5=1336d26c3b6078b7c485f71da82aaab5,,,,,Export Date: 19 January 2026; Cited By: 10,10.1016/j.ijinfomgt.2025.102875,"",,
rayyan-435619295,Intelligence in RPA,2025,,,,,,,183-212,"Kumar, T. and Devi, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008749470&doi=10.4018%2F979-8-3693-4365-4.ch008&partnerID=40&md5=e6e4848a548fd117f28b8b02683740f6,,,,,Export Date: 19 January 2026; Cited By: 0,10.4018/979-8-3693-4365-4.ch008,"",,
rayyan-435619296,To Rely or Not to Rely? Evaluating Interventions for Appropriate Reliance on Large Language Models,2025,,,,,,,,"Bo, J.Y. and Wan, S. and Anderson, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005772617&doi=10.1145%2F3706598.3714097&partnerID=40&md5=cb8b36ffc62286ecb26de34e9c28c5f9,,,,,Export Date: 19 January 2026; Cited By: 0,10.1145/3706598.3714097,"",,
rayyan-435619297,"""When Two Wrongs Don't Make a Right"" - Examining Confirmation Bias and the Role of Time Pressure During Human-AI Collaboration in Computational Pathology",2025,,,,,,,,"Rosbach, E. and Ammeling, J. and Krügel, S. and Kießig, A. and Fritz, A. and Ganz, J. and Puget, C. and Donovan, T. and Klang , A. and Köller, M.C. and Bolfǎ, P. and Tecilla, M. and Denk, D. and Kiupel, M. and Paraschou, G. and Kok, M.K. and Haake, A.F.H. and de Krijger, R.R. and Sonnen, A.F.-P. and Kasantikul, T. and Dorrestein, G.M. and Smedley, R.C. and Stathonikos, N. and Uhl, M. and Bertram, C.A. and Riener, A. and Aubreville, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005749959&doi=10.1145%2F3706598.3713319&partnerID=40&md5=01fe6f715e38b7e9e5877c06917b487e,,,,,Export Date: 19 January 2026; Cited By: 1,10.1145/3706598.3713319,"",,
rayyan-435619298,Trust Your Gut: Comparing Human and Machine Inference from Noisy Visualizations,2025,,,IEEE Transactions on Visualization and Computer Graphics,,31,1,754-764,"Koonchanok, R. and Papka, M.E. and Reda, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000427533&doi=10.1109%2FTVCG.2024.3456182&partnerID=40&md5=9b2e0f98bc93dc8ccab4920726a03041,,,,,Export Date: 19 January 2026; Cited By: 0,10.1109/TVCG.2024.3456182,"",,
rayyan-435619299,The Influence of Personality Traits and Domain Knowledge on the Quality of Decision-Making in Engineering Design,2025,,,Applied Sciences (Switzerland),,15,2,,"Ahmad, M. and Wang, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215819722&doi=10.3390%2Fapp15020518&partnerID=40&md5=48ec1d4332e4e4d2e0f0cbe43a954a30,,,,,Export Date: 19 January 2026; Cited By: 2,10.3390/app15020518,"",,
rayyan-435619300,Cognition-Driven Structural Prior for Instance-Dependent Label Transition Matrix Estimation,2025,,,IEEE Transactions on Neural Networks and Learning Systems,,36,2,3730-3743,"Zhang, R. and Cao, Z. and Yang, S. and Si, L. and Sun, H. and Xu, L. and Sun, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182381291&doi=10.1109%2FTNNLS.2023.3347633&partnerID=40&md5=772507fc17dc2118402700b11662a354,,,,,Export Date: 19 January 2026; Cited By: 53,10.1109/TNNLS.2023.3347633,"",,
rayyan-435619301,am-ELO: A Stable Framework for Arena-based LLM Evaluation,2025,,,Proceedings of Machine Learning Research,,267,,38857-38868,"Liu, Z. and Li, J. and Zhuang, Y. and Liu, Q. and Shen, S. and Ouyang, J. and Cheng, M. and Wang, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023640372&partnerID=40&md5=9788ab31676d9f2aff0e54b5b8d9f60e,,,,,Export Date: 19 January 2026; Cited By: 0,,"",,
rayyan-435619302,Effort Estimation in Agile and DevOps: A Systematic Literature Review of Stakeholder Dissatisfaction,2025,,,IEEE Access,,13,,167925-167941,"Ruk, S.A. and Mahmood, Y. and Azmi, A. and Firdaus Mohd Azmi, N. and Gul, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013786007&doi=10.1109%2FACCESS.2025.3600321&partnerID=40&md5=941d572eddc2b96c6274a3379315009a,,,,,Export Date: 19 January 2026; Cited By: 0,10.1109/ACCESS.2025.3600321,"",,
rayyan-435619303,Anchorlogy: An Ontology for Anchoring Bias Detection in Forecasting,2025,,,Lecture Notes in Computer Science,,15701,,277-293,"Peixoto, M. and Baiao, F. and Guizzardi, R. and Guizzardi, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009240782&doi=10.1007%2F978-3-031-94569-4_16&partnerID=40&md5=524bd82f5f05f848bedb8d4f115b5a04,,,,,Export Date: 19 January 2026; Cited By: 0,10.1007/978-3-031-94569-4_16,"",,
rayyan-435619304,Human-in-the-Loop Annotation for Image-Based Engagement Estimation: Assessing the Impact of Model Reliability on Annotation Accuracy,2025,,,Lecture Notes in Computer Science,,15770,,169-186,"Yadnakudige Subramanya, S. and Watanabe, K. and Dengel, A. and Ishimaru, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008496278&doi=10.1007%2F978-3-031-93864-1_12&partnerID=40&md5=2ecdd9b08af653d79607b8076fd1d8aa,,,,,Export Date: 19 January 2026; Cited By: 1,10.1007/978-3-031-93864-1_12,"",,
rayyan-435619305,A Hybrid Metaheuristic Aware Enhanced Deep Learning Approach for Software Effort Estimation,2024,,,"Engineering, Technology and Applied Science Research",,14,6,19024-19029,"Badana, M. and Kranthi Kiran, M.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211479778&doi=10.48084%2Fetasr.8890&partnerID=40&md5=d6a5a2fdb9c78f32d6c7cfd492befc95,,,,,Export Date: 19 January 2026; Cited By: 3,10.48084/etasr.8890,"",,
rayyan-435619306,MPE-HRNetL: A Lightweight High-Resolution Network for Multispecies Animal Pose Estimation,2024,,,Sensors,,24,21,,"Shen, J. and Jiang, Y. and Luo, J. and Wang, W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208557670&doi=10.3390%2Fs24216882&partnerID=40&md5=0984bac27246c6dd2a9134761a3bc6c4,,,,,Export Date: 19 January 2026; Cited By: 2,10.3390/s24216882,"",,
rayyan-435619307,Bridging the Gap between Time Management Research and Task Management App Design: A Study on the Integration of Planning Fallacy Mitigation Strategies,2024,,,,,,,,"Ahmetoglu, Y. and Brumby, D. and Cox, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197793578&doi=10.1145%2F3663384.3663404&partnerID=40&md5=d29c524d0867b6335eb72a80c7ce8a6c,,,,,Export Date: 19 January 2026; Cited By: 5,10.1145/3663384.3663404,"",,
rayyan-435619308,Encouraging Disengagement: Using Eye Tracking to Examine Attention with Different Levels of Juicy Design,2024,,,,,,,,"Luz, A. and Marcher, F. and Nacke, L.E. and Vogel, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195424987&doi=10.1145%2F3656650.3656694&partnerID=40&md5=7c5bba335141510bc271b22786193d35,,,,,Export Date: 19 January 2026; Cited By: 4,10.1145/3656650.3656694,"",,
rayyan-435619309,Detecting Users' Emotional States during Passive Social Media Use,2024,,,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",,8,2,,"Gebhardt, C. and Brombach, A. and Luong, T. and Otmar Hilliges, O. and Holz, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193530302&doi=10.1145%2F3659606&partnerID=40&md5=015e06556550b7ed2c6c2ab103066406,,,,,Export Date: 19 January 2026; Cited By: 3,10.1145/3659606,"",,
